document_id,question,expected_answer,actual_answer,result,error,processing_duration_in_sec
Single_JKHY_2009_page_28.pdf-3,what was the percentage change in the net cash from operating activities from 2008 to 2009,14.1%,```The percentage change in the net cash from operating activities from 2008 to 2009 was approximately 14.13%.```,OK,,7
Single_RSG_2008_page_114.pdf-2,what was the percent of the growth in the revenues from 2007 to 2008,1.3%,```The percent of the growth in the revenues from 2007 to 2008 was approximately 1.27%.```,OK,,7
Single_AAPL_2002_page_23.pdf-1,what was the percentage change in net sales from 2000 to 2001?,-32%,The percentage change in net sales from 2000 to 2001 was approximately -32.85%.,WRONG,Answers are different,6
Single_UPS_2009_page_33.pdf-2,what was the difference in percentage cumulative return on investment for united parcel service inc . compared to the s&p 500 index for the five year period ended 12/31/09?,-26.16%,```The difference in percentage cumulative return on investment for United Parcel Service Inc. compared to the S&P 500 index for the five year period ended 12/31/09 is approximately -26.16%.```,OK,,11
Single_CE_2010_page_134.pdf-2,what portion of the total shares subject to outstanding awards is under the 2009 global incentive plan?,70.1%,```The portion of the total shares subject to outstanding awards that is under the 2009 global incentive plan is approximately 29.94%.```,WRONG,Answers are different,21
Single_JPM_2013_page_104.pdf-2,what was the percentage increase in litigation reserves in 2012?,15.6%,```The percentage increase in litigation reserves in 2012 was 15.63%.```,OK,,26
Single_HIG_2004_page_122.pdf-2,what portion of total obligations are due within the next 3 years?,22.99%,"```The portion of total obligations that are due within the next 3 years is approximately 22.9%. This is calculated by adding the obligations due within less than 1 year ($27,729) and those due within 1-3 years ($45,161), which totals to $72,890. This amount is then divided by the total obligations ($317,105) and multiplied by 100 to get the percentage.```",WRONG,Answers are different,32
Single_SLG_2013_page_133.pdf-4,"for the years ended december 31 , 2013 , 2012 and 2011 , what was the total in millions capitalized to assets associated with compensation expense related to long-term compensation plans , restricted stock and stock options?\\n",12,"```For the years ended December 31, 2013, 2012, and 2011, the total in millions capitalized to assets associated with compensation expense related to long-term compensation plans, restricted stock, and stock options was approximately $4.5 million, $4.1 million, and $3.4 million respectively.```",WRONG,unable to extract decimal,37
Single_ETR_2008_page_336.pdf-3,what is the percent change in net revenue between 2007 and 2008?,2.4%,The percent change in net revenue between 2007 and 2008 is approximately 2.44%.,OK,,12
Single_BKR_2017_page_105.pdf-2,"what portion of the authorized shares of class b common stock is outstanding as of december 31 , 2017?",56.6%,"```The portion of the authorized shares of class B common stock that was outstanding as of December 31, 2017 is approximately 56.56%.```",OK,,21
Single_JPM_2016_page_73.pdf-4,what was the 5 year return of the kbw bank index?,158.82%,The 5 year return of the KBW Bank Index was 158.82%.,OK,,11
Single_BLK_2017_page_35.pdf-4,what is the percentage change in the balance of asset allocation from 2016 to 2017?,11.2%,The percentage change in the balance of asset allocation from 2016 to 2017 is approximately 11.24%.,OK,,28
Single_HII_2015_page_120.pdf-4,between 2015 and 2013 what was the average compensation expense related to the issuing of the stock award in millions,40.3,The average compensation expense related to the issuing of the stock award between 2015 and 2013 was $43.5 million.,WRONG,unable to extract decimal,18
Single_AMT_2002_page_104.pdf-2,"what is the total expected payments for principal of long- term debt , including capital leases in the next 36 months?",594840,"```The total expected payments for principal of long-term debt, including capital leases in the next 36 months is $594,840,000.```",WRONG,unable to extract decimal,21
Single_VRTX_2005_page_103.pdf-1,what is the percent change in net loss on disposal of assets between 2004 and 2005?,700%,```The percent change in net loss on disposal of assets between 2004 and 2005 is approximately 700%.```,OK,,14
Single_STT_2013_page_54.pdf-4,how much higher are the returns of the s&p 500 in the same period ( 2008-2013 ) ? as a percentage .,30%,```The returns of the S&P 500 index were 30% higher compared to State Street Corporation from 2008 to 2013.```,OK,,15
Single_GS_2014_page_62.pdf-2,what is the percentage change in standardized rwas in 2014?,-1.2%,```The percentage change in standardized RWAs in 2014 was approximately -1.21%.```,OK,,25
Single_ADI_2009_page_90.pdf-3,what percentage did the balance increase from 2007 to 2009?,83.6%,The balance increased by approximately 83.67% from 2007 to 2009.,WRONG,Answers are different,19
Single_AON_2007_page_185.pdf-4,what is the percentual decrease observed in the future minimum rental payments during 2008 and 2009?,13.25%,```The percentual decrease observed in the future minimum rental payments during 2008 and 2009 was 13.25%.```,OK,,8
Single_ZBH_2002_page_46.pdf-3,what was the percentage change of total debt from 2001 to 2002?,-57%,The percentage change of total debt from 2001 to 2002 was approximately -56.96%.,OK,,51
